pais_id,pais,año,mes,ccp_origen,producto_origen,ccp_destino,producto_destino,uni_med_id,uni_med,cantidad_por_millon
32,Argentina,2009,1,2211,Leche cruda,22110,Leche pasteurizada descremada,l,Litros,0.37
32,Argentina,2009,1,2211,Leche cruda,22110,Leche esterilizada entera,l,Litros,26.15
32,Argentina,2009,1,2211,Leche cruda,22110,Leche esterilizada semidescremada,l,Litros,13.22
32,Argentina,2009,1,2211,Leche cruda,22110,Leche esterilizada descremada,l,Litros,2.13
32,Argentina,2009,1,2211,Leche cruda,22110,Leche chocolatada,l,Litros,7.52
32,Argentina,2009,1,2211,Leche cruda,22211,Leche en polvo entera ,l,Litros,171.53
32,Argentina,2009,1,2211,Leche cruda,22212,Leche en polvo descremada,l,Litros,39.33
32,Argentina,2009,1,2211,Leche cruda,22251,Quesos de baja humedad (pasta dura),l,Litros,62.76
32,Argentina,2009,1,2211,Leche cruda,22251,Quesos de mediana humedad (pasta semidura),l,Litros,149.07
32,Argentina,2009,1,2211,Leche cruda,22251,Quesos de alta humedad (pasta blanda),l,Litros,123.16
32,Argentina,2009,1,2211,Leche cruda,22241,Manteca,l,Litros,87.78
32,Argentina,2009,1,2211,Leche cruda,22222,Dulce de leche,l,Litros,13.14
32,Argentina,2009,1,2211,Leche cruda,22222,Leche condensada,l,Litros,0.61
32,Argentina,2009,1,2211,Leche cruda,22230,Yogur ,l,Litros,42.7
32,Argentina,2009,1,2211,Leche cruda,22290,Postres lacteos y flanes,l,Litros,3.21
32,Argentina,2009,2,2211,Leche cruda,2211,Leche informal,l,Litros,55.02
32,Argentina,2009,2,2211,Leche cruda,22110,Leche pasteurizada entera,l,Litros,68.56
32,Argentina,2009,2,2211,Leche cruda,22110,Leche pasteurizada semidescremada,l,Litros,24.5
32,Argentina,2009,2,2211,Leche cruda,22110,Leche pasteurizada descremada,l,Litros,0.44
32,Argentina,2009,2,2211,Leche cruda,22110,Leche esterilizada entera,l,Litros,19.93
32,Argentina,2009,2,2211,Leche cruda,22110,Leche esterilizada semidescremada,l,Litros,11.63
32,Argentina,2009,2,2211,Leche cruda,22110,Leche esterilizada descremada,l,Litros,1.67
32,Argentina,2009,2,2211,Leche cruda,22110,Leche chocolatada,l,Litros,1.24
32,Argentina,2009,2,2211,Leche cruda,22211,Leche en polvo entera ,l,Litros,97.87
32,Argentina,2009,2,2211,Leche cruda,22212,Leche en polvo descremada,l,Litros,31.06
32,Argentina,2009,2,2211,Leche cruda,22251,Quesos de baja humedad (pasta dura),l,Litros,30.92
32,Argentina,2009,2,2211,Leche cruda,22251,Quesos de mediana humedad (pasta semidura),l,Litros,144.29
32,Argentina,2009,2,2211,Leche cruda,22251,Quesos de alta humedad (pasta blanda),l,Litros,127.95
32,Argentina,2009,2,2211,Leche cruda,22241,Manteca,l,Litros,68.61
32,Argentina,2009,2,2211,Leche cruda,22222,Dulce de leche,l,Litros,16.32
32,Argentina,2009,2,2211,Leche cruda,22222,Leche condensada,l,Litros,1.04
32,Argentina,2009,2,2211,Leche cruda,22230,Yogur ,l,Litros,35.92
32,Argentina,2009,2,2211,Leche cruda,22290,Postres lacteos y flanes,l,Litros,3.1
32,Argentina,2009,3,2211,Leche cruda,2211,Leche informal,l,Litros,62.82
32,Argentina,2009,3,2211,Leche cruda,22110,Leche pasteurizada entera,l,Litros,82.13
32,Argentina,2009,3,2211,Leche cruda,22110,Leche pasteurizada semidescremada,l,Litros,30.61
32,Argentina,2009,3,2211,Leche cruda,22110,Leche pasteurizada descremada,l,Litros,0.75
32,Argentina,2009,3,2211,Leche cruda,22110,Leche esterilizada entera,l,Litros,26.57
32,Argentina,2009,3,2211,Leche cruda,22110,Leche esterilizada semidescremada,l,Litros,11.41
32,Argentina,2009,3,2211,Leche cruda,22110,Leche esterilizada descremada,l,Litros,2.19
32,Argentina,2009,3,2211,Leche cruda,22110,Leche chocolatada,l,Litros,5.58
32,Argentina,2009,3,2211,Leche cruda,22211,Leche en polvo entera ,l,Litros,87.78
32,Argentina,2009,3,2211,Leche cruda,22212,Leche en polvo descremada,l,Litros,29.07
32,Argentina,2009,3,2211,Leche cruda,22251,Quesos de baja humedad (pasta dura),l,Litros,37.3
32,Argentina,2009,3,2211,Leche cruda,22251,Quesos de mediana humedad (pasta semidura),l,Litros,163.58
32,Argentina,2009,3,2211,Leche cruda,22251,Quesos de alta humedad (pasta blanda),l,Litros,138.33
32,Argentina,2009,3,2211,Leche cruda,22241,Manteca,l,Litros,58.61
